EC,rxn_ID,reaction
3.5.4.26,rxn32932,(1) cpd00001[0] + (1) cpd00957[0] <=> (1) cpd00013[0] + (1) cpd00931[0]
3.5.4.26,rxn23839,(1) cpd00001[0] + (1) cpd02859[0] <=> (1) cpd00709[0] + (1) cpd02412[0]
2.7.4.12|2.7.4.8,rxn32939,(1) cpd00002[0] + (1) cpd00296[0] <=> (1) cpd00008[0] + (1) cpd00295[0]
2.7.4.12|2.7.4.8,rxn32938,(1) cpd02755[0] <=> (1) cpd14514[0]
2.7.8.13,rxn21658,(1) cpd19245[0] + (1) cpd23315[0] <=> (1) cpd00091[0] + (1) cpd23338[0]
2.4.1.129,rxn21659,(2) cpd23342[0] <=> (1) cpd02229[0] + (1) cpd23343[0]
2.4.1.129,rxn21650,(1) cpd00013[0] + (1) cpd24838[0] <=> (1) cpd00001[0] + (1) cpd23334[0]
1.14.13.-,rxn21651,(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd01741[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd23335[0]
1.14.13.-,rxn21652,(1) cpd27168[0] <=> (1) cpd27169[0]
6.3.1.12,rxn21653,(1) cpd00002[0] + (1) cpd00320[0] + (1) cpd23334[0] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd23337[0]
6.3.1.12,rxn21654,(1) cpd19013[0] + (1) cpd23341[0] <=> (1) cpd00001[0] + (1) cpd23342[0]
6.3.1.12,rxn21655,(1) cpd00002[0] + (1) cpd00320[0] + (1) cpd23340[0] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd23341[0]
6.3.1.12,rxn21656,(1) cpd00013[0] + (1) cpd23339[0] <=> (1) cpd00001[0] + (1) cpd23340[0]
2.4.1.227,rxn21657,(1) cpd00037[0] + (1) cpd23338[0] <=> (1) cpd00014[0] + (1) cpd23339[0]
2.4.1.227,rxn12258,(1) cpd00001[0] + (1) cpd16649[0] <=> (1) cpd16650[0]
2.4.1.227,rxn12259,(1) cpd00003[0] + (1) cpd16650[0] <=> (1) cpd00004[0] + (1) cpd16651[0]
2.4.1.227,rxn12256,(1) cpd00003[0] + (1) cpd16643[0] <=> (1) cpd00004[0] + (1) cpd16644[0]
2.4.1.227,rxn12257,(1) cpd00010[0] + (1) cpd16644[0] <=> (1) cpd00022[0] + (1) cpd00070[0]
2.4.1.227,rxn12254,(1) cpd00002[0] + (1) cpd00010[0] + (1) cpd05192[0] <=> (1) cpd00012[0] + (1) cpd00018[0] + (1) cpd16607[0]
2.4.1.227,rxn12255,(1) cpd00001[0] + (1) cpd01599[0] <=> (1) cpd16643[0]
2.4.1.227,rxn12252,(1) cpd00010[0] + (1) cpd16606[0] <=> (1) cpd00022[0] + (1) cpd16652[0]
2.4.1.227,rxn12253,(1) cpd00015[0] + (1) cpd16607[0] <=> (1) cpd00982[0] + (1) cpd16604[0]
2.4.1.227,rxn12250,(1) cpd00001[0] + (1) cpd16604[0] <=> (1) cpd16605[0]
2.4.1.227,rxn12251,(1) cpd00003[0] + (1) cpd16605[0] <=> (1) cpd00004[0] + (1) cpd16606[0]
2.4.1.227,rxn38775,(1) cpd00900[0] <=> (1) cpd00900[1]
2.4.1.227,rxn28644,(1) cpd00722[0] + (1) cpd29443[0] <=> (1) cpd29112[0]
2.4.1.227,rxn28645,(1) cpd29334[0] + (1) cpd29450[0] <=> (1) cpd29366[0]
2.4.1.227,rxn28647,(1) cpd20862[0] + (1) cpd29231[0] <=> (1) cpd29367[0]
2.4.1.227,rxn29553,(1) cpd28726[1] <=> (1) cpd28726[0]
1.5.1.2,rxn30397,(1) cpd00003[0] + (1) cpd00851[0] <=> (1) cpd00004[0] + (1) cpd02625[0]
2.7.6.3,rxn30396,(1) cpd00002[0] + (1) cpd00954[0] <=> (1) cpd00018[0] + (1) cpd02920[0]
2.3.3.10|4.1.3.5,rxn30395,(1) cpd00010[0] + (1) cpd00292[0] <=> (1) cpd00001[0] + (1) cpd00022[0] + (1) cpd00279[0]
