id,smiles
cpd00098,C[N+](C)(C)CCO
cpd00099,[Cl-]
cpd00100,OCC(O)CO
cpd00101,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O
cpd00102,O=C[C@H](O)COP(=O)([O-])[O-]
cpd00103,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O
cpd00104,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
cpd00105,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
cpd00106,O=C([O-])/C=C/C(=O)[O-]
cpd00107,CC(C)C[C@H]([NH3+])C(=O)[O-]
cpd00108,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
cpd00109,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
cpd00110,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
cpd00111,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
cpd00112,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
cpd00113,C=C(C)CCOP(=O)([O-])OP(=O)([O-])O
cpd00114,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd00115,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1
cpd00116,CO
cpd00117,C[C@@H]([NH3+])C(=O)[O-]
cpd00118,[NH3+]CCCC[NH3+]
cpd00119,[NH3+][C@@H](Cc1c[nH]cn1)C(=O)[O-]
cpd00120,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
cpd00121,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
cpd00122,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd00123,CC(C)C(=O)C(=O)[O-]
cpd00125,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2
cpd00126,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00127,Oc1ccccc1
cpd00128,Nc1ncnc2[nH]cnc12
cpd00129,O=C([O-])[C@@H]1CCC[NH2+]1
cpd00130,O=C([O-])C[C@H](O)C(=O)[O-]
cpd00131,[Mo+2]
cpd00132,NC(=O)C[C@H]([NH3+])C(=O)[O-]
cpd00133,NC(=O)c1cccnc1
cpd00134,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00135,[NH3+][C@@H](CCS)C(=O)[O-]
cpd00136,O=C([O-])c1ccc(O)cc1
cpd00137,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
cpd00138,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
cpd00139,O=C([O-])CO
cpd00141,CCC(=O)[O-]
cpd00142,CC(=O)CC(=O)[O-]
cpd00143,O=C([O-])C(=O)Cc1ccccc1
cpd00144,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00145,O=C([O-])C(=O)CO
cpd00146,NC(=O)OP(=O)([O-])[O-]
cpd00147,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00148,*[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd00149,[Co+2]
cpd00150,C#N
cpd00151,Cc1c[nH]c(=O)[nH]c1=O
cpd00152,NC(=[NH2+])NCCCC[NH3+]
cpd00153,O=C([O-])c1ccccc1
cpd00154,OC1OC[C@@H](O)[C@H](O)[C@H]1O
cpd00155,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00156,CC(C)[C@H]([NH3+])C(=O)[O-]
cpd00157,O=C(CO)CO
cpd00158,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00159,C[C@H](O)C(=O)[O-]
cpd00160,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cpd00161,C[C@@H](O)[C@H]([NH3+])C(=O)[O-]
cpd00162,[NH3+]CCO
cpd00163,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00164,O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00165,NO
cpd00166,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@]6(C)CCC(=O)NC[C@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(C[C@H]3O[C@@H](n5cnc6c(N)ncnc65)[C@H](O)[C@@H]3O)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
cpd00167,*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC
cpd00168,O=C([O-])c1cccc(O)c1O
cpd00169,O=C([O-])[C@H](O)COP(=O)([O-])[O-]
cpd00170,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
cpd00171,O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
cpd00172,COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21
cpd00173,*[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00174,CC(C)OP(=O)(F)OC(C)C
cpd00175,CC(=O)N[C@H]1C(OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
cpd00176,O=C([O-])C(=O)C[C@H](O)[C@H](O)CO
cpd00177,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O1
cpd00178,CC(C)=O
cpd00179,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00180,O=C([O-])C(=O)[O-]
cpd00181,[1*][Co+]N1/C2=C(/C)C3=[NH+]/C(=C\C4=[NH+]/C(=C(/C)C5=[NH+][C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H]([2*])O[C@@H]1CO)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O
cpd00182,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
cpd00183,C[NH2+]CC(=O)[O-]
cpd00184,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
cpd00185,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O
cpd00186,[NH3+][C@H](CCC(=O)[O-])C(=O)[O-]
cpd00187,C[NH3+]
cpd00188,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]
cpd00189,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
cpd00190,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00191,O=CCC(=O)[O-]
cpd00192,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1
cpd00193,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](O)[C@H]1O
cpd00194,C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-]
cpd00195,*CO
cpd00196,CC(=O)OP(=O)([O-])[O-]
cpd00197,O=C([O-])c1ccc(O)c(O)c1
cpd00198,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]
cpd00199,O=CCCC(=O)[O-]
cpd00200,CC(C)CC(=O)C(=O)[O-]
cpd00201,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
cpd00202,CC(C)=CCOP(=O)([O-])OP(=O)([O-])O
cpd00203,O=C(OP(=O)([O-])[O-])[C@H](O)COP(=O)([O-])[O-]
cpd00204,C#[O+]
cpd00205,[K+]
cpd00206,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)n1
cpd00207,Nc1nc2[nH]cnc2c(=O)[nH]1
cpd00208,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
cpd00209,O=[N+]([O-])[O-]
cpd00210,[NH3+]CCS(=O)(=O)[O-]
cpd00211,CCCC(=O)[O-]
cpd00212,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
cpd00213,NC(=O)CCCC[C@@H]1CCSS1
cpd00214,CCCCCCCCCCCCCCCC(=O)[O-]
cpd00215,Cc1ncc(CO)c(C=O)c1O
cpd00216,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1O)C(=O)[O-]
cpd00217,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00218,O=C([O-])c1cccnc1
cpd00219,O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1
cpd00220,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
cpd00221,C[C@@H](O)C(=O)[O-]
cpd00222,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
cpd00223,O=C([O-])[C@H](O)CO
cpd00224,OC1OC[C@H](O)[C@H](O)[C@H]1O
cpd00225,O=Cc1ccccc1
cpd00226,O=c1[nH]cnc2[nH]cnc12
cpd00227,[NH3+][C@@H](CCO)C(=O)[O-]
cpd00228,O[C@@H](CS)[C@@H](O)CS
cpd00229,O=CCO
cpd00231,C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1
cpd00232,CC(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO
cpd00233,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
cpd00234,O=C(CO)[C@@H](O)[C@H](O)C(=O)CO
cpd00235,O=P([O-])([O-])OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
cpd00236,O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-]
cpd00237,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
cpd00238,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
cpd00239,[SH-]
cpd00240,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
cpd00241,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O2)c(=O)[nH]1
cpd00242,O=C([O-])O
cpd00245,Nc1ccccc1
cpd00246,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
cpd00247,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1
cpd00248,O=C([O-])[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1
cpd00249,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00250,CN(CC(=O)[O-])C(N)=[NH2+]
cpd00251,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2OC(O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
